Series,Indicator Name,group
fin16.t.d.5,"Saved for old age, primary education or less (% ages 15+)",fin16
fin16.t.d.6,"Saved for old age, secondary education or more (% ages 15+)",fin16
fin16.t.d.7,"Saved for old age, income poorest 40% (% ages 15+)",fin16
fin16.t.d.8,"Saved for old age, income richest 60% (% ages 15+)",fin16
fin16.t.d.9,"Saved for old age, rural (% age 15+)",fin16
fin17a.17a1.d,Saved at a financial institution or using a mobile money account (% age 15+),fin17a
fin17a.17a1.d.1,"Saved at a financial institution or using a mobile money account, female (% age 15+)",fin17a
fin17a.17a1.d.10,"Saved at a financial institution or using a mobile money account, urban (% age 15+)",fin17a
fin17a.17a1.d.11,"Saved at a financial institution or using a mobile money account, out of labor force (% age 15+)",fin17a
fin17a.17a1.d.12,"Saved at a financial institution or using a mobile money account, in labor force (% age 15+)",fin17a
fin17a.17a1.d.2,"Saved at a financial institution or using a mobile money account, male (% age 15+)",fin17a
fin17a.17a1.d.3,"Saved at a financial institution or using a mobile money account, young (% ages 15-24)",fin17a
fin17a.17a1.d.4,"Saved at a financial institution or using a mobile money account, older (% age 25+)",fin17a
fin17a.17a1.d.5,"Saved at a financial institution or using a mobile money account, primary education or less (% ages 15+)",fin17a
fin17a.17a1.d.6,"Saved at a financial institution or using a mobile money account, secondary education or more (% ages 15+)",fin17a
fin17a.17a1.d.7,"Saved at a financial institution or using a mobile money account, income poorest 40% (% ages 15+)",fin17a
fin17a.17a1.d.8,"Saved at a financial institution or using a mobile money account, income richest 60% (% ages 15+)",fin17a
fin17a.17a1.d.9,"Saved at a financial institution or using a mobile money account, rural (% age 15+)",fin17a
fin17a.t.d,Saved at a financial institution (% age 15+),fin17a
fin17a.t.d.1,"Saved at a financial institution, female (% age 15+)",fin17a
fin17a.t.d.10,"Saved at a financial institution, urban (% age 15+)",fin17a
fin17a.t.d.11,"Saved at a financial institution, out of labor force (% age 15+)",fin17a
fin17a.t.d.12,"Saved at a financial institution, in labor force (% age 15+)",fin17a
fin17a.t.d.2,"Saved at a financial institution, male (% age 15+)",fin17a
fin17a.t.d.3,"Saved at a financial institution, young (% ages 15-24)",fin17a
fin17a.t.d.4,"Saved at a financial institution, older (% age 25+)",fin17a
fin17a.t.d.5,"Saved at a financial institution, primary education or less (% ages 15+)",fin17a
fin17a.t.d.6,"Saved at a financial institution, secondary education or more (% ages 15+)",fin17a
fin17a.t.d.7,"Saved at a financial institution, income poorest 40% (% ages 15+)",fin17a
fin17a.t.d.8,"Saved at a financial institution, income richest 60% (% ages 15+)",fin17a
fin17a.t.d.9,"Saved at a financial institution, rural (% age 15+)",fin17a
fin17a1.d,Saved money using a mobile money account (% age 15+),fin17a1
fin17a1.d.1,"Saved money using a mobile money account, female (% age 15+)",fin17a1
fin17a1.d.10,"Saved money using a mobile money account, urban (% age 15+)",fin17a1
fin17a1.d.11,"Saved money using a mobile money account, out of labor force (% age 15+)",fin17a1
fin17a1.d.12,"Saved money using a mobile money account, in labor force (% age 15+)",fin17a1
fin17a1.d.2,"Saved money using a mobile money account, male (% age 15+)",fin17a1
fin17a1.d.3,"Saved money using a mobile money account, young (% ages 15-24)",fin17a1
fin17a1.d.4,"Saved money using a mobile money account, older (% age 25+)",fin17a1
fin17a1.d.5,"Saved money using a mobile money account, primary education or less (% ages 15+)",fin17a1
fin17a1.d.6,"Saved money using a mobile money account, secondary education or more (% ages 15+)",fin17a1
fin17a1.d.7,"Saved money using a mobile money account, income poorest 40% (% ages 15+)",fin17a1
fin17a1.d.8,"Saved money using a mobile money account, income richest 60% (% ages 15+)",fin17a1
fin17a1.d.9,"Saved money using a mobile money account, rural (% age 15+)",fin17a1
fin17b.t.d,Saved using a savings club or a person outside the family (% age 15+),fin17b
fin17b.t.d.1,"Saved using a savings club or a person outside the family, female (% age 15+)",fin17b
fin17b.t.d.10,"Saved using a savings club or a person outside the family, urban (% age 15+)",fin17b
fin17b.t.d.11,"Saved using a savings club or a person outside the family, out of labor force (% age 15+)",fin17b
fin17b.t.d.12,"Saved using a savings club or a person outside the family, in labor force (% age 15+)",fin17b
fin17b.t.d.2,"Saved using a savings club or a person outside the family, male (% age 15+)",fin17b
fin17b.t.d.3,"Saved using a savings club or a person outside the family, young (% ages 15-24)",fin17b
fin17b.t.d.4,"Saved using a savings club or a person outside the family, older (% age 25+)",fin17b
fin17b.t.d.5,"Saved using a savings club or a person outside the family, primary education or less (% ages 15+)",fin17b
fin17b.t.d.6,"Saved using a savings club or a person outside the family, secondary education or more (% ages 15+)",fin17b
fin17b.t.d.7,"Saved using a savings club or a person outside the family, income poorest 40% (% ages 15+)",fin17b
fin17b.t.d.8,"Saved using a savings club or a person outside the family, income richest 60% (% ages 15+)",fin17b
fin17b.t.d.9,"Saved using a savings club or a person outside the family, rural (% age 15+)",fin17b
fin17c.d.2014,Saved for education or school fees (% age 15+),fin17c
fin17c.d.2014.1,"Saved for education or school fees, female (% age 15+)",fin17c
fin17c.d.2014.10,"Saved for education or school fees, urban (% age 15+)",fin17c
fin17c.d.2014.11,"Saved for education or school fees, out of labor force (% age 15+)",fin17c
fin17c.d.2014.12,"Saved for education or school fees, in labor force (% age 15+)",fin17c
fin17c.d.2014.2,"Saved for education or school fees, male (% age 15+)",fin17c
fin17c.d.2014.3,"Saved for education or school fees, young (% ages 15-24)",fin17c
fin17c.d.2014.4,"Saved for education or school fees, older (% age 25+)",fin17c
fin17c.d.2014.5,"Saved for education or school fees, primary education or less (% ages 15+)",fin17c
fin17c.d.2014.6,"Saved for education or school fees, secondary education or more (% ages 15+)",fin17c
fin17c.d.2014.7,"Saved for education or school fees, income poorest 40% (% ages 15+)",fin17c
fin17c.d.2014.8,"Saved for education or school fees, income richest 60% (% ages 15+)",fin17c
fin17c.d.2014.9,"Saved for education or school fees, rural (% age 15+)",fin17c
fin19.t.2014,Has an outstanding housing loan (% age 15+),fin19
fin19.t.2014.1,"Has an outstanding housing loan, female (% age 15+)",fin19
fin19.t.2014.10,"Has an outstanding housing loan, urban (% age 15+)",fin19
fin19.t.2014.11,"Has an outstanding housing loan, out of labor force (% age 15+)",fin19
fin19.t.2014.12,"Has an outstanding housing loan, in labor force (% age 15+)",fin19
fin19.t.2014.2,"Has an outstanding housing loan, male (% age 15+)",fin19
fin19.t.2014.3,"Has an outstanding housing loan, young (% ages 15-24)",fin19
fin19.t.2014.4,"Has an outstanding housing loan, older (% age 25+)",fin19
fin19.t.2014.5,"Has an outstanding housing loan, primary education or less (% ages 15+)",fin19
fin19.t.2014.6,"Has an outstanding housing loan, secondary education or more (% ages 15+)",fin19
fin19.t.2014.7,"Has an outstanding housing loan, income poorest 40% (% ages 15+)",fin19
fin19.t.2014.8,"Has an outstanding housing loan, income richest 60% (% ages 15+)",fin19
fin19.t.2014.9,"Has an outstanding housing loan, rural (% age 15+)",fin19
fin2.7.t.d,Owns a debit or credit card (% age 15+),fin2
fin2.7.t.d.1,"Owns a debit or credit card, female (% age 15+)",fin2
fin2.7.t.d.10,"Owns a debit or credit card, urban (% age 15+)",fin2
fin2.7.t.d.11,"Owns a debit or credit card, out of labor force (% age 15+)",fin2
fin2.7.t.d.12,"Owns a debit or credit card, in labor force (% age 15+)",fin2
fin2.7.t.d.2,"Owns a debit or credit card, male (% age 15+)",fin2
fin2.7.t.d.3,"Owns a debit or credit card, young (% ages 15-24)",fin2
fin2.7.t.d.4,"Owns a debit or credit card, older (% age 25+)",fin2
fin2.7.t.d.5,"Owns a debit or credit card, primary education or less (% ages 15+)",fin2
fin2.7.t.d.6,"Owns a debit or credit card, secondary education or more (% ages 15+)",fin2
fin2.7.t.d.7,"Owns a debit or credit card, income poorest 40% (% ages 15+)",fin2
fin2.7.t.d.8,"Owns a debit or credit card, income richest 60% (% ages 15+)",fin2
fin2.7.t.d.9,"Owns a debit or credit card, rural (% age 15+)",fin2
fin2.t.d,Owns a debit card (% age 15+),fin2
fin2.t.d.1,"Owns a debit card, female (% age 15+)",fin2
fin2.t.d.10,"Owns a debit card, urban (% age 15+)",fin2
fin2.t.d.11,"Owns a debit card, out of labor force (% age 15+)",fin2
fin2.t.d.12,"Owns a debit card, in labor force (% age 15+)",fin2
fin2.t.d.2,"Owns a debit card, male (% age 15+)",fin2
fin2.t.d.3,"Owns a debit card, young (% ages 15-24)",fin2
fin2.t.d.4,"Owns a debit card, older (% age 25+)",fin2
fin2.t.d.5,"Owns a debit card, primary education or less (% ages 15+)",fin2
fin2.t.d.6,"Owns a debit card, secondary education or more (% ages 15+)",fin2
fin2.t.d.7,"Owns a debit card, income poorest 40% (% ages 15+)",fin2
fin2.t.d.8,"Owns a debit card, income richest 60% (% ages 15+)",fin2
fin2.t.d.9,"Owns a debit card, rural (% age 15+)",fin2
fin20.t.d,Borrowed for health or medical purposes (% age 15+),fin20
fin20.t.d.1,"Borrowed for health or medical purposes, female (% age 15+)",fin20
fin20.t.d.10,"Borrowed for health or medical purposes, urban (% age 15+)",fin20
fin20.t.d.11,"Borrowed for health or medical purposes, out of labor force (% age 15+)",fin20
fin20.t.d.12,"Borrowed for health or medical purposes, in labor force (% age 15+)",fin20
fin20.t.d.2,"Borrowed for health or medical purposes, male (% age 15+)",fin20
fin20.t.d.3,"Borrowed for health or medical purposes, young (% ages 15-24)",fin20
fin20.t.d.4,"Borrowed for health or medical purposes, older (% age 25+)",fin20
fin20.t.d.5,"Borrowed for health or medical purposes, primary education or less (% ages 15+)",fin20
fin20.t.d.6,"Borrowed for health or medical purposes, secondary education or more (% ages 15+)",fin20
fin20.t.d.7,"Borrowed for health or medical purposes, income poorest 40% (% ages 15+)",fin20
fin20.t.d.8,"Borrowed for health or medical purposes, income richest 60% (% ages 15+)",fin20
fin20.t.d.9,"Borrowed for health or medical purposes, rural (% age 15+)",fin20
fin21.t.d.2017,"Borrowed to start, operate, or expand a farm or business (% age 15+)",fin21
fin21.t.d.2017.1,"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21
fin21.t.d.2017.10,"Borrowed to start, operate, or expand a farm or business, urban (% age 15+)",fin21
fin21.t.d.2017.11,"Borrowed to start, operate, or expand a farm or business, out of labor force (% age 15+)",fin21
fin21.t.d.2017.12,"Borrowed to start, operate, or expand a farm or business, in labor force (% age 15+)",fin21
fin21.t.d.2017.2,"Borrowed to start, operate, or expand a farm or business, male (% age 15+)",fin21
fin21.t.d.2017.3,"Borrowed to start, operate, or expand a farm or business, young (% ages 15-24)",fin21
fin21.t.d.2017.4,"Borrowed to start, operate, or expand a farm or business, older (% age 25+)",fin21
fin21.t.d.2017.5,"Borrowed to start, operate, or expand a farm or business, primary education or less (% ages 15+)",fin21
fin21.t.d.2017.6,"Borrowed to start, operate, or expand a farm or business, secondary education or more (% ages 15+)",fin21
fin21.t.d.2017.7,"Borrowed to start, operate, or expand a farm or business, income poorest 40% (% ages 15+)",fin21
fin21.t.d.2017.8,"Borrowed to start, operate, or expand a farm or business, income richest 60% (% ages 15+)",fin21
fin21.t.d.2017.9,"Borrowed to start, operate, or expand a farm or business, rural (% age 15+)",fin21
fin21b.2014,Borrowed from a store by buying on credit (% age 15+),fin21b
fin21b.2014.1,"Borrowed from a store by buying on credit, female (% age 15+)",fin21b
fin21b.2014.10,"Borrowed from a store by buying on credit, urban (% age 15+)",fin21b
fin21b.2014.11,"Borrowed from a store by buying on credit, out of labor force (% age 15+)",fin21b
fin21b.2014.12,"Borrowed from a store by buying on credit, in labor force (% age 15+)",fin21b
fin21b.2014.2,"Borrowed from a store by buying on credit, male (% age 15+)",fin21b
fin21b.2014.3,"Borrowed from a store by buying on credit, young (% ages 15-24)",fin21b
fin21b.2014.4,"Borrowed from a store by buying on credit, older (% age 25+)",fin21b
fin21b.2014.5,"Borrowed from a store by buying on credit, primary education or less (% ages 15+)",fin21b
fin21b.2014.6,"Borrowed from a store by buying on credit, secondary education or more (% ages 15+)",fin21b
fin21b.2014.7,"Borrowed from a store by buying on credit, income poorest 40% (% ages 15+)",fin21b
fin21b.2014.8,"Borrowed from a store by buying on credit, income richest 60% (% ages 15+)",fin21b
fin21b.2014.9,"Borrowed from a store by buying on credit, rural (% age 15+)",fin21b
fin22a.2014,Borrowed for education or school fees (% age 15+),fin22a
fin22a.2014.1,"Borrowed for education or school fees, female (% age 15+)",fin22a
fin22a.2014.10,"Borrowed for education or school fees, urban (% age 15+)",fin22a
fin22a.2014.11,"Borrowed for education or school fees, out of labor force (% age 15+)",fin22a
fin22a.2014.12,"Borrowed for education or school fees, in labor force (% age 15+)",fin22a
fin22a.2014.2,"Borrowed for education or school fees, male (% age 15+)",fin22a
fin22a.2014.3,"Borrowed for education or school fees, young (% ages 15-24)",fin22a
fin22a.2014.4,"Borrowed for education or school fees, older (% age 25+)",fin22a
fin22a.2014.5,"Borrowed for education or school fees, primary education or less (% ages 15+)",fin22a
fin22a.2014.6,"Borrowed for education or school fees, secondary education or more (% ages 15+)",fin22a
fin22a.2014.7,"Borrowed for education or school fees, income poorest 40% (% ages 15+)",fin22a
fin22a.2014.8,"Borrowed for education or school fees, income richest 60% (% ages 15+)",fin22a
fin22a.2014.9,"Borrowed for education or school fees, rural (% age 15+)",fin22a
fin22a.c.MM.d,Borrowed any money from a formal financial institution or using a mobile money account (% age 15+),fin22a
fin22a.c.MM.d.1,"Borrowed any money from a formal financial institution or using a mobile money account, female (% age 15+)",fin22a
fin22a.c.MM.d.10,"Borrowed any money from a formal financial institution or using a mobile money account, urban (% age 15+)",fin22a
fin22a.c.MM.d.11,"Borrowed any money from a formal financial institution or using a mobile money account, out of labor force (% age 15+)",fin22a
fin22a.c.MM.d.12,"Borrowed any money from a formal financial institution or using a mobile money account, in labor force (% age 15+)",fin22a
